"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"ZAHLART_TYP";"ZAHLART_NAME";"ZAHLWAEH_CODE";"ZAHLWAEH_BETRAG";"BASISWAEH_BETRAG"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"78fbd6bb-3217-4403-92e5-fd46b797b2ec";"Unbar";;"EUR";;"10.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"513cc0f5-7163-48d6-b44a-94b41d36802e";"Unbar";;"EUR";;"14.30"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"2c265f24-f7cb-4e20-b198-e7f0cffa1207";"Unbar";;"EUR";;"10.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"77d3f0f5-15ec-4685-8633-5a84036b66f2";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"a033f5db-9255-425d-a481-9e90b5375848";"Unbar";;"EUR";;"39.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"19a810bb-f5ea-464d-896c-f4cb653ab946";"Unbar";;"EUR";;"4.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"de8aa783-f254-4190-8382-8c41b11ea45f";"Unbar";;"EUR";;"38.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"d5376689-b46b-495e-b4f0-8611c7eec244";"Unbar";;"EUR";;"30.50"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"f2bc382d-77c3-4faf-a366-65bf79057235";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"bb5dade4-5b62-4871-b003-06652a8d8585";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"cfe98f34-cb91-429b-9a74-d1291c75c380";"Unbar";;"EUR";;"11.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"1afbefe6-638f-41f1-a554-481c3af6b182";"Unbar";;"EUR";;"10.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"1afbefe6-638f-41f1-a554-481c3af6b182";"Unbar";;"EUR";;"10.70"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"9521839d-4d98-4b2f-99ed-d957dc812e38";"Unbar";;"EUR";;"39.40"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"86b3b30d-3fc1-4116-81cf-8676752bf2e9";"Unbar";;"EUR";;"7.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"5306bc6b-9013-46a4-a69b-ca9cd46d9533";"Unbar";;"EUR";;"4.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"ed908b5d-e024-4816-8234-43c8a5922dd3";"Unbar";;"EUR";;"22.20"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"ad4315fd-8978-4c34-a9b4-43c2fc1a1224";"Unbar";;"EUR";;"15.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"08bb196d-4368-4d95-a4d7-f4e44b355d9e";"Unbar";;"EUR";;"42.00"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-20T19:45:18Z";"44";"177f3fb7-6063-494d-9bb0-c14c07ab219f";"Unbar";;"EUR";;"12.00"
