"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"POS_ZEILE";"ZI_ART_NR";"ZI_GTIN";"ZI_NAME";"ZI_WARENGR_ID";"ZI_WARENGR";"ZI_MENGE";"ZI_FAKTOR";"ZI_EINHEIT";"ZI_UST_SCHLUESSEL";"ZI_BASISPREIS_BRUTTO";"ZI_BASISPREIS_NETTO";"ZI_BASISPREIS_UST"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"d5b23d86-c47a-4689-ac9b-30543c4545f1";"1";"48665115";;;;;"1.000";;;"2";"4.00000";"3.74000";"0.26000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"c929667c-2b2e-41eb-8ccd-12d7443265f2";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"586ba944-8f8e-469f-bb01-87ac0518969f";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"77598291-2fbf-4397-b312-69dad98d8dd7";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"77598291-2fbf-4397-b312-69dad98d8dd7";"4";"47826790";;;;;"1.000";;;"2";"3.00000";"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"77598291-2fbf-4397-b312-69dad98d8dd7";"5";"47826865";;;;;"1.000";;;"2";"3.50000";"3.27000";"0.23000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"bf994ac4-3d59-4e36-bf65-c10a6188b4c0";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"fd1ffa5f-790e-465e-8905-5f649614c74f";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"9ed52ebb-aa16-4fae-b215-131a86a03dee";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"82d893ad-b6c0-44bc-b8c5-0df5123f65c0";"1";"47826790";;;;;"1.000";;;"2";"3.00000";"2.80000";"0.20000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"5cadfb2d-b412-47cb-9380-aa833dc1dc54";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"1";"47798836";;;;;"1.000";;;"2";"4.50000";"4.21000";"0.29000"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-25T19:52:59Z";"48";"a76b9028-bb23-4156-a230-d204b7e27289";"2";"48665448";;;;;"1.000";;;"2";"3.50000";"3.27000";"0.23000"
